Question,Solution,Topic,Source,category
"We produce a random real number X through the following two-stage experiment. First roll a fair die to get an outcome Y in the set {1, 2, ... , 6}. Then, if Y = k, choose X uniformly in the interval (0, k]. Find the cumulative distribution function F(s) and the probability density function f(s) of X for 3 < s < 4.","Solution: We begin by deriving the probability $F(s)=$ $P(X \leq s)$ using the law of total probability. For $s \in(3,4)$, $$ F(s)=P(X \leq s) = \sum_{k=1}^6 P(X \leq s \mid Y=k) P(Y=k) =\sum_{k=1}^3 \frac{1}{6}+\sum_{k=4}^6 * \frac{1}{6}=\frac{1}{2}+\frac{37 s}{360} .$$ We can find the density function $f$ on the interval $(3,4)$ by differentiating this. Thus $$ f(s)=F^{\prime}(s)=\frac{37}{360} \text { for } s \in(3,4) $$",Probability,MATH 180A,calculation
"Let $Y$ be a random variable with density function $f(x)=\frac{2}{3} x$ for $x \in[1,2]$ and $f(x)=0$ otherwise. Compute $E\left[(Y-1)^2\right]$.",Solution: 7/18,Probability,MATH 180A HW4,calculation
Let $Z$ have the following density function $$ f_Z(z)= \begin{cases}\frac{1}{7} & 1 \leq z \leq 2 \\ \frac{3}{7} & 5 \leq z \leq 7 \\ 0 & \text { otherwise }\end{cases} $$ Compute both $E[Z]$ and $\operatorname{Var (Z)$.,"Solution: E[Z] = 75/14, Var(Z) = 1633/588",Probability,MATH 180A HW4,calculation
"In a school there are four kindergarten classes, with 21, 24, 17 and 28 students. We choose one of the 90 kindergarten students randomly, and denote the number of students in her class by $X$. Find the expectation and variance of $X$.","Solution: E[X] = 209/9, Var(X) = 1274/81",Probability,MATH 180A HW4,reasoning
A pollster would like to estimate the fraction $p$ of people in a population who intend to vote for a particular candidate. How large must a random sample be in order to be at least $95 \%$ certain that the fraction $\widehat{p}$ of positive answers in the sample is within 0.02 of the true $p ?$,Solution: 2401,Probability,MATH 180A HW5,calculation
How many randomly chosen guests should I invite to my party so that the probability of having a guest with the same birthday as mine is at least $2 / 3 ?$,Solution: we should invite at least 401 guests.,Probability,MATH 180A HW5,reasoning
"Find the equation of the line that is parallel to the line $r(t)=(3,4,5)+t(5,4,3)$ and passes through the point $(1,2,3)$.","Solution: l(t) = (1, 2, 3) + t(5, 4, 3)",Calculus basics,MATH 20C Practice exam,calculation
"Find the equation of a plane that contains the lines q(t) = (6, 2, 7) + t(2, 0, 1) and l(t) = (6, 2, 7) + t(0, 3, 2).",Solution: −3(x − 6) − 4(y − 2) + 6(z − 7) = 0,Calculus basics,MATH 20C Practice exam,calculation
"Find all values of b where (b, 12) and (3, 2) are orthogonal.",Solution: b = -8,Calculus basics,MATH 20C Practice exam,calculation
"Let $\vec{u}$ and $\vec{v}$ be vectors where $\|\vec{u}\|=5,\|\vec{v}\|=6$, and $\|\vec{u}+\vec{v}\|=9$. Find $\|\vec{u} \times \vec{v}\|$.",Solution: 10\sqrt{8},Calculus basics,MATH 20C Practice exam,calculation
"Let $c(t)=\left(\cos t, \sin t, \sqrt{20} t^2\right)$ represent the position of a particle at time $t$. Find the equation of the tangent line at time $t=\pi$.","Solution: l(t) = (−1, 0, √20π2) + t(0, −1, 2√20π)",Calculus basics,MATH 20C Practice exam,calculation
"Let $f(x, y)=x^2 y$, and let $g(x, y)=x^4+y^2$. Find an equation for the tangent plane to $g(x, y)$ at the point $(1,2,5)$",Solution: z=5+4(x-1)+4(y-2),Calculus basics,MATH 20C Practice exam,calculation
"Let $f(x, y)=x^2 y$, and let $g(x, y)=x^4+y^2$. Let $P$ be the tangent plane to $g(x, y)$ at the point $(1,2,5)$. Find all points on the graph of $f$ that have tangent plane parallel to $P$. These points will have the format $(a, b, f(a, b))$","Solution: $(2,1,4)$ and $(-2,-1,-4)$",Calculus basics,MATH 20C Practice exam,calculation
"Captain Ishmael Pogo is sailing the seven seas in search of Lugia, the great white legendary bird. Captain Pogo knows that Lugia travels only in the coldest waters, and is searching continuously in the coldest parts of the water. The temperature in Celsius of the water is given by $$ T(x, y)=-20 e^{-x^2-2 y^2}+20 $$ where $x$ and $y$ are measured in meters. Captain Pogo is currently at $(1,1)$ In what direction should Captain Pogo proceed in order for the temperature to decrease most rapidly? Express your answer as a unit vector.","Solution: $$ \left(-\frac{1}{\sqrt{5}},-\frac{2}{\sqrt{5}}\right) $$",Calculus basics,MATH 20C Practice exam,calculation
"Captain Ishmael Pogo is sailing the seven seas in search of Lugia, the great white legendary bird. Captain Pogo knows that Lugia travels only in the coldest waters, and is searching continuously in the coldest parts of the water. The temperature in Celsius of the water is given by $$ T(x, y)=-20 e^{-x^2-2 y^2}+20 $$ where $x$ and $y$ are measured in meters. Captain Pogo is currently at $(1,1)$ If Captain Pogo is traveling at $e^4$ meters per second, what is the rate of change of the temperature if he proceeds in the direction of greatest decrease?",Solution: $$ -40 e \sqrt{5} $$,Calculus basics,MATH 20C Practice exam,calculation
"Captain Ishmael Pogo is sailing the seven seas in search of Lugia, the great white legendary bird. Captain Pogo knows that Lugia travels only in the coldest waters, and is searching continuously in the coldest parts of the water. The temperature in Celsius of the water is given by $$ T(x, y)=-20 e^{-x^2-2 y^2}+20 $$ where $x$ and $y$ are measured in meters. Captain Pogo is currently at $(1,1)$ The ship will crack if the water temperature is decreasing at a rate greater than $20 e \sqrt{15}$ degrees per second. If Captain Pogo is still traveling at $e^4$ meters per second, what is the maximum angle from the gradient that Captain Pogo can travel to avoid cracking he ship because of the temperature change of the water?",Solution: $\frac{5 \pi}{6}$,Calculus basics,MATH 20C Practice exam,calculation
"interface Iface {
  public boolean m();
  public int n();
}

class A implements Iface {
  public String s;
  public String x;

  public boolean m() {
    return true;
  }

  public int n() {
    return 12;
  }
}

class B implements Iface {
  public String s;
  public String y;

  public boolean m() {
    return false;
  }

  public int n() {
    return 2;
  }
}

Select all of the declarations below that would NOT cause a compile error:
Choice 1 of 5: A a1 = new B();
Choice 2 of 5: Iface i2 = new Iface();
Choice 3 of 5: B b = new Iface();
Choice 4 of 5: Iface i1 = new A();
Choice 5 of 5: A a2 = new A();",Solution: Choice 4 and Choice 5,Computer Science: Java,CSE12 Review quiz 1,Multiple Choice
"interface Iface {
  public boolean m();
  public int n();
}

class A implements Iface {
  public String s;
  public String x;

  public boolean m() {
    return true;
  }

  public int n() {
    return 12;
  }
}

class B implements Iface {
  public String s;
  public String y;

  public boolean m() {
    return false;
  }

  public int n() {
    return 2;
  }
}

Select all of the declarations below that would NOT cause a compile error:
Choice 1 of 4:A a1 = new A(); String val3 = a1.s;
Choice 2 of 4:Iface i2 = new B(); String val2 = i2.x;
Choice 3 of 4:A a2 = new A(); String val4 = a2.y;
Choice 4 of 4:Iface i1 = new A(); String val1 = i1.s;",Solution: Choice 1,Computer Science: Java,CSE12 Review quiz 1,Multiple Choice
"What would be printed when the main method is executed?
class Q3 {
  A a1 = new A();
  boolean val1 = a1.m();

  Iface i1 = new B();
  int val2 = i1.n();

  Iface i2 = a1;
  int val3 = i2.n();

  public static void main(String[] args){
    Q3 q = new Q3();
    System.out.println(q.val1 + "", "" + q.val2 + "", "" + q.val3);
  }
}

Choice 1 of 6:true, 2, 2

Choice 2 of 6:true, 12, 2

Choice 3 of 6:false, 2, 12

Choice 4 of 6:false, 12, 12

Choice 5 of 6:false, 12, 2

Choice 6 of 6:true, 2, 12",Solution: Choice 6,Computer Science: Java,CSE12 Review quiz 1,Multiple Choice
"class Song {
  String title;
  String artist;
  int year;

  public Song(String title, String artist, int year) {
    this.title = title;
    this.artist = artist;
    this.year = year;
  }
}

class Playlist {
  String title;
  Song[] songs;
  int numSongs;

  public Playlist(int length, String title) {
    this.title = title;
    this.songs = new Song[length];
    this.numSongs = 0;
    for (int i = 0; i < songs.length; i++) {
      this.songs[i] = new Song("""", """", 0);
    }
  }

  public Playlist(String title, int length) {
    this.title = title;
    this.songs = new Song[length];
    this.numSongs = 0;
  }

  public boolean setSong(int index, Song song) {
    if (index >= this.songs.length || index < 0) return false;
    this.songs[index] = song;
    return true;
  }

  // returns false if playlist already full, else true
  public boolean addSong(Song newSong) {
    if (this.songs.length == this.numSongs) return false;
    this.songs[this.numSongs] = newSong;
    this.numSongs++;
    return true;
  }
}
Q2.1 How many total Song and Playlist objects are created?

Playlist playlist1 = new Playlist(""90s Pop"", 3);
Song song1 = new Song(""Say My Name"", ""Destiny's Child"", 1999);
Song song2 = new Song(""I Want It That Way"", ""Backstreet Boys"", 1999);
playlist1.addSong(song1);
playlist1.addSong(song2);

Choice 1 of 5:3

Choice 2 of 5:4

Choice 3 of 5:5

Choice 4 of 5:6

Choice 5 of 5:7",Solution: Choice 1,Computer Science: Java,CSE12 Review quiz 1,Multiple Choice
"class Song {
  String title;
  String artist;
  int year;

  public Song(String title, String artist, int year) {
    this.title = title;
    this.artist = artist;
    this.year = year;
  }
}

class Playlist {
  String title;
  Song[] songs;
  int numSongs;

  public Playlist(int length, String title) {
    this.title = title;
    this.songs = new Song[length];
    this.numSongs = 0;
    for (int i = 0; i < songs.length; i++) {
      this.songs[i] = new Song("""", """", 0);
    }
  }

  public Playlist(String title, int length) {
    this.title = title;
    this.songs = new Song[length];
    this.numSongs = 0;
  }

  public boolean setSong(int index, Song song) {
    if (index >= this.songs.length || index < 0) return false;
    this.songs[index] = song;
    return true;
  }

  // returns false if playlist already full, else true
  public boolean addSong(Song newSong) {
    if (this.songs.length == this.numSongs) return false;
    this.songs[this.numSongs] = newSong;
    this.numSongs++;
    return true;
  }
}
How many total Song and Playlist objects are created?

Playlist playlist2 = new Playlist(4, ""More 90s Pop"");
Song song3 = new Song(""Wannabe"", ""Spice Girls"", 1996);
Song song4 = new Song(""...Baby One More Time"", ""Britney Spears"", 1998);
playlist2.setSong(2, song3);
playlist2.setSong(0, song4);

Choice 1 of 6:6

Choice 2 of 6:4

Choice 3 of 6:3

Choice 4 of 6:5

Choice 5 of 6:8

Choice 6 of 6:7",Solution: Choice 6,Computer Science: Java,CSE12 Review quiz 1,Multiple Choice
"For Questions 1, refer to the implementation AList used in class and the following code:

public class AList<E> implements List<E> {

  E[] elements;
  int size;

  @SuppressWarnings(""unchecked"")
  public AList() {
    this.elements = (E[])(new Object[2]);
    this.size = 0;
  }

  public void add(E s) {
    expandCapacity();
    this.elements[this.size] = s;
    this.size += 1;
  }

  public E get(int index) {
    if(index < 0 || index >= this.size) {
      throw new IndexOutOfBoundsException();
    }
    return this.elements[index];
  }

  public int size() {
    return this.size;
  }

  @SuppressWarnings(""unchecked"")
  private void expandCapacity() {
    // NOTE(joe): I changed currentSize to currentCapacity below
    // because it's a better name for the variable
    int currentCapacity = this.elements.length;
    if(this.size < currentCapacity) { return; }

    E[] expanded = (E[])(new Object[currentCapacity * 2]);


    for(int i = 0; i < this.size; i += 1) {
      expanded[i] = this.elements[i];
    }
    this.elements = expanded;
  }
}
Which of the following AList declarations will result in a compile error? Check all that apply:
Choice 1 of 6:AList<AList<String>> myList = new AList<AList<String>>();
Choice 2 of 6:List<Integer> myList = new AList<Integer>();
Choice 3 of 6:AList myList<Integer> = new AList<Integer>();
Choice 4 of 6:AList<int> myList= new AList<int>();
Choice 5 of 6:AList<Object> myList = new AList<Object>();
Choice 6 of 6:AList<E> myList = new AList<String>();","Solution: Choice 3, 4, 6",Computer Science: Java,CSE12 Review quiz 2,Multiple Choice
"For Questions 1, refer to the implementation AList used in class and the following code:

public class AList<E> implements List<E> {

  E[] elements;
  int size;

  @SuppressWarnings(""unchecked"")
  public AList() {
    this.elements = (E[])(new Object[2]);
    this.size = 0;
  }

  public void add(E s) {
    expandCapacity();
    this.elements[this.size] = s;
    this.size += 1;
  }

  public E get(int index) {
    if(index < 0 || index >= this.size) {
      throw new IndexOutOfBoundsException();
    }
    return this.elements[index];
  }

  public int size() {
    return this.size;
  }

  @SuppressWarnings(""unchecked"")
  private void expandCapacity() {
    // NOTE(joe): I changed currentSize to currentCapacity below
    // because it's a better name for the variable
    int currentCapacity = this.elements.length;
    if(this.size < currentCapacity) { return; }

    E[] expanded = (E[])(new Object[currentCapacity * 2]);


    for(int i = 0; i < this.size; i += 1) {
      expanded[i] = this.elements[i];
    }
    this.elements = expanded;
  }
}
What is the correct syntax for initializing an array of generic data type?

Choice 1 of 5:E[] elements = (E[])(new Object[2]);

Choice 2 of 5:E[] elements = new E[2];

Choice 3 of 5:Object[] elements = new Object[2];

Choice 4 of 5:E[] elements = new E[2]();

Choice 5 of 5:Object[] elements = (Object[])(new E[2]);",Solution: Choice 1,Computer Science: Java,CSE12 Review quiz 2,Multiple Choice
"Refer to the following method:

// This method returns whether or not a pair of numbers,
// num1 and num2, are between 1-m and 1-n, respectively
boolean findPair(int num1, int num2, int m, int n) {
    for (int i = 1; i <= m; i++) {
        if (num1 == i) {
            for (int j = 1; j <= n; j++) {
                if (num2 == j) {
                    return true;
                } 
            }
        }
    }
    return false;
}
Q6.1 What is the worst case runtime of findPair?

Choice 1 of 5:O(m/n)

Choice 2 of 5:O(n)

Choice 3 of 5:O(m*n)

Choice 4 of 5:O(m)

Choice 5 of 5:O(m+n)",Solution: Choice 5,Computer Science: Java,CSE12 Review quiz 2,Multiple Choice
"Refer to the following method:

// This method returns whether or not a pair of numbers,
// num1 and num2, are between 1-m and 1-n, respectively
boolean findPair(int num1, int num2, int m, int n) {
    for (int i = 1; i <= m; i++) {
        if (num1 == i) {
            for (int j = 1; j <= n; j++) {
                if (num2 == j) {
                    return true;
                } 
            }
        }
    }
    return false;
}

What is the best case runtime of findPair given it returns false?

Choice 1 of 5:O(m*n)

Choice 2 of 5:O(m)

Choice 3 of 5:O(1)

Choice 4 of 5:O(m+n)

Choice 5 of 5:O(n)",Solution: Choice 2,Computer Science: Java,CSE12 Review quiz 2,Multiple Choice
"Check which of the following are true:

Choice 1 of 4:1/(n^2) + 5 = O(1/n)
Choice 2 of 4:n! + n^2 = O(nlog(n))
Choice 3 of 4:n + 5n^3 + 8n^4 = O(n)
Choice 4 of 4:2^n + nlog(n) = O(n!)",Solution: Choice 4,Computer Science: Java,CSE12 Review quiz 2,Multiple Choice
"Given n is a very large number, which of the following correctly orders the time complexities from fastest to slowest:

Choice 1 of 6:n, 2^n, n^2, n!, log(n)

Choice 2 of 6:n, log(n), n^2, n!, 2^n

Choice 3 of 6:log(n), n, n^2, n!, 2^n

Choice 4 of 6:log(n), n, n!, 2^n, n^2

Choice 5 of 6:log(n), n, n^2, 2^n, n!

Choice 6 of 6:log(n), n, n!, n^2, 2^n",Solution: Choice 5,Computer Science: Java,CSE12 Review quiz 2,Multiple Choice
"Which of the following will result in the most number of element comparisons using selection sort? Select all that apply:

Choice 1 of 5:{1, 3, 5, 2, 4}
Choice 2 of 5:{1, 2, 3, 4, 5}
Choice 3 of 5:{5, 4, 3, 2, 1}
Choice 4 of 5:{1, 1, 1, 1, 1}
Choice 5 of 5:{1, 4, 5, 3, 2}","Solution: Choice 1,2,3,4,5",Computer Science: Java,CSE12 Review quiz 3,Multiple Choice
"How many swaps will occur when performing insertion sort on {5, 3, 7, 6, 2, 9}?
Choice 1 of 6:10

Choice 2 of 6:5

Choice 3 of 6:6

Choice 4 of 6:7

Choice 5 of 6:3

Choice 6 of 6:9",Solution: Choice 3,Computer Science: Java,CSE12 Review quiz 3,Multiple Choice
"Which of the following descriptions of pivot selection will result in the best case quicksort runtime?

Choice 1 of 5:Choosing the median index as the pivot

Choice 2 of 5:Choosing the median value as the pivot

Choice 3 of 5:There is no definite pivot selection method that will always result in best case runtime

Choice 4 of 5:Choosing the first value as the pivot

Choice 5 of 5:Randomly choosing the pivot",Solution: Choice 2,Computer Science: Java,CSE12 Review quiz 3,Multiple Choice
"Consider the merge sort from class. How many times will the element at index 0 be copied when sorting an array of length n over the entire run of the algorithm?

Choice 1 of 5:log(n)

Choice 2 of 5:n/2

Choice 3 of 5:2*log(n)

Choice 4 of 5:n

Choice 5 of 5:1",Solution: Choice 3,Computer Science: Java,CSE12 Review quiz 3,Multiple Choice
"Which of the following statements about sorting are true?

Choice 1 of 5:The worst cases for selection sort and insertion sort occur when an array is in reversed order
Choice 2 of 5:The best case time of all sorts is O(1) because of the case when an array is length 1
Choice 3 of 5:Merge sort has best and worst cases of O(nlog(n))
Choice 4 of 5:Quicksort is O(n^2) only when an array is in reversed order
Choice 5 of 5:If arrays are split into thirds instead of halves in merge sort, the best case would still be O(nlog(n)) HINT: look up the rules of logs!","Solution: Choice 1,3,5",Computer Science: Java,CSE12 Review quiz 3,Multiple Choice
"Let f(n) = n^2 + nlogn + n. Select all true statements

Choice 1 of 4:f(n) ? O(n^2)
Choice 2 of 4:f(n) ? O(n)
Choice 3 of 4:f(n) ? O(n^3)
Choice 4 of 4:f(n) ? O(nlogn)","Solution: Choice 1,3",Computer Science: Java,CSE12 Review quiz 3,Multiple Choice
"Given the following piece of code, please select the most accurate runtime (i.e. tightest bound) for the worst case scenario.

for (i = 0; i < myArray.length-1; i++)  {
   myArray[i] += myArray[i+1];
   myArray[i+1] = myArray[i];
}

for (j = myArray.length-1; j > 1; j = j/2) {
   if (myArray[j] < 0) {
      myArray[j+1] = myArray[j];
   }
}
Assume N = myArray.length

Choice 1 of 5: O(N*log(N))

Choice 2 of 5: O(1)

Choice 3 of 5: O(log(N))

Choice 4 of 5: O(N)

Choice 5 of 5: O(N^2)",Solution: Choice 4,Computer Science: Java,CSE12 Review quiz 3,Multiple Choice
"Which of the following statements about hash tables is/are true? Refer to the hash table from lecture.

Choice 1 of 7:A hash table can have keys of only one type
Choice 2 of 7:Hash tables are ordered by keys
Choice 3 of 7:A hash table can have values of multiple types
Choice 4 of 7:All values must be unique
Choice 5 of 7:Items are stored as key, value pairs
Choice 6 of 7:The best case for get and set is O(n)
Choice 7 of 7:All keys must be unique","Solution: Choice 1,5,7",Computer Science: Java,CSE12 Review quiz 4,Multiple Choice
"Refer to the following hash function:

int getIndex(String k) {
    return k.length() % 10;
}

Using the above hash function, which of the following pairs of subsequent set calls will result in a collision, assuming that the current number of buckets is large enough to store all the elements? (the hash table uses String keys and double values)

Choice 1 of 5:set(""sandwich"", 4); set(""salad"", 5);
Choice 2 of 5:set(""coca cola"", 2); set(""coke zero"", 2);
Choice 3 of 5:set(""boba"", 4.5); set(""crispy chicken"", 8.5);
Choice 4 of 5:set(""shampoo"", 2); set(""conditioner"", 3);
Choice 5 of 5:set(""water bottle"", 1.5); set(""flamin' hot cheetohs"", 2);","Solution: Choice 2,3",Computer Science: Java,CSE12 Review quiz 4,Multiple Choice
"Which of the following relationships hold?

Choice 1 of 6:1/n + log(n) * n^2 is O(n^2)
Choice 2 of 6:n log(n) + n^2 is ?(log(n) n^2)
Choice 3 of 6:n^2 + n^3 is ?(n^3)
Choice 4 of 6:(n^4)/log(n) is ?(n^4)
Choice 5 of 6:1/(n^10) + 100 is ?(1)
Choice 6 of 6:n + log(n) is O(log(n))","Solution: Choice 3,5",Computer Science: Java,CSE12 Review quiz 4,Multiple Choice
"For Question 4, refer to the following sort method:

public static void mysterySort(int[] arr) {
    for (int i = arr.length - 1; i >= 0; i--) {
        for (int j = i; j < arr.length - 1; j++) {
            if(arr[j] > arr[j + 1]) {
                int temp = arr[j + 1];
                arr[j + 1] = arr[j];
                arr[j] = temp;
            }
        }
    }
}
Which type of sort is implemented in the above method?

Choice 1 of 5:None of the above

Choice 2 of 5:Selection sort

Choice 3 of 5:Insertion sort

Choice 4 of 5:Quick sort

Choice 5 of 5:Merge sort",Solution: Choice 3,Computer Science: Java,CSE12 Review quiz 4,Multiple Choice
"What are the best and worst case time complexities, respectively, of adding a new value to a BST, where n is the number of nodes in the tree?

Choice 1 of 5:theta(log(n)), theta(log(n))

Choice 2 of 5:theta(1), theta(n)

Choice 3 of 5:theta(1), theta(log(n))

Choice 4 of 5:theta(log(n)), theta(n)

Choice 5 of 5:theta(n), theta(n)",Solution: Choice 4,Computer Science: Java,CSE12 Review quiz 4,Multiple Choice
"True or False: This code-will compile:
LinkedList<? extends List> myL = new LinkedList<ArrayList>();",Solution: True,Computer Science: Java,DSC30 midterm 2,True False
